sweep,case,source,vin_v,vout_target_v,iout_target_a,rload_ohm,duty,l_uh,c_uf,fsw_khz,formula_delta_il_a,formula_delta_vout_mv,plecs_startup_vout_peak_v,plecs_startup_inductor_current_peak_a,plecs_vout_avg_v,plecs_vout_ripple_pp_mv,plecs_inductor_current_avg_a,plecs_inductor_current_ripple_pp_a,plecs_mosfet_vds_min_v,plecs_mosfet_vds_max_v,note
l_sweep,10uH,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,10.0,100.0,200.0,3.0,18.75,21.74236427751635,40.4668321850002,11.999990028957527,18.70586375908445,5.000000002105471,2.881559774171532,0.0,24.0,PLECS RPC 真实参数扫描结果
l_sweep,22uH,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,8.522727272727273,20.81563891719695,27.33508114525714,11.999995468144434,8.49965258697516,5.000000003015045,1.3094130817882776,0.0,24.0,PLECS RPC 真实参数扫描结果
l_sweep,47uH,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,47.0,100.0,200.0,0.6382978723404257,3.98936170212766,19.626666289775702,18.963400089973142,11.999997883041498,3.977944514062415,4.999999995023324,0.612836549720905,0.0,24.0,PLECS RPC 真实参数扫描结果
c_sweep,47uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,47.0,200.0,1.3636363636363638,18.133462282398458,19.63600193112215,19.346399400862758,11.999990357455536,18.093920606871094,5.00000000237458,1.3097765379736845,0.0,24.0,PLECS RPC 真实参数扫描结果
c_sweep,100uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,8.522727272727273,20.81563891719695,27.33508114525714,11.999995468144434,8.49965258697516,5.000000003015045,1.3094130817882776,0.0,24.0,PLECS RPC 真实参数扫描结果
c_sweep,220uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,220.0,200.0,1.3636363636363638,3.873966942148761,21.751172091098578,39.69427967766491,11.999869607358074,4.10765118113865,5.000122936829112,1.3104054826619622,0.0,24.0,PLECS RPC 真实参数扫描结果
fsw_sweep,100kHz,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,100.0,100.0,2.7272727272727275,34.09090909090909,20.80836439877475,27.928569162487825,11.999982950924705,34.12976986907523,5.000000009999089,2.62076226048209,0.0,24.0,PLECS RPC 真实参数扫描结果
fsw_sweep,200kHz,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,8.522727272727273,20.81563891719695,27.33508114525714,11.999995468144434,8.49965258697516,5.000000003015045,1.3094130817882776,0.0,24.0,PLECS RPC 真实参数扫描结果
fsw_sweep,300kHz,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,100.0,300.0,0.9090909090909092,3.7878787878787885,20.815317763905565,27.127876041489742,11.9999981066961,3.7883665368063646,5.000000002914496,0.8728227426820361,0.0,24.0,PLECS RPC 真实参数扫描结果
lc_startup_grid,L10uH_C47uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,10.0,47.0,200.0,3.0,39.893617021276604,20.860779638984805,28.55244232724001,11.99997877121784,39.83673295769918,5.0000000114938725,2.88332085157354,0.0,24.0,PLECS RPC 真实参数扫描结果
lc_startup_grid,L22uH_C47uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,47.0,200.0,1.3636363636363638,18.133462282398458,19.63600193112215,19.346399400862758,11.999990357455536,18.093920606871094,5.00000000237458,1.3097765379736845,0.0,24.0,PLECS RPC 真实参数扫描结果
lc_startup_grid,L47uH_C47uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,47.0,47.0,200.0,0.6382978723404257,8.488003621548215,18.145480895292458,13.514956598938257,11.999995487920257,8.466658239626668,5.000000000540327,0.6129161330535542,0.0,24.0,PLECS RPC 真实参数扫描结果
lc_startup_grid,L10uH_C100uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,10.0,100.0,200.0,3.0,18.75,21.74236427751635,40.4668321850002,11.999990028957527,18.70586375908445,5.000000002105471,2.881559774171532,0.0,24.0,PLECS RPC 真实参数扫描结果
lc_startup_grid,L22uH_C100uF,plecs_rpc_simulation,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,8.522727272727273,20.81563891719695,27.33508114525714,11.999995468144434,8.49965258697516,5.000000003015045,1.3094130817882776,0.0,24.0,PLECS RPC 真实参数扫描结果
