metric,value
vref_v,12.0
fsw_hz,200000.0
control_period_us,5.0
kp,0.05
ki,200.0
duty_feedforward,0.5
initial_integrator_trim,0.004166666666666652
vin_step_from_v,24.0
vin_step_to_v,20.0
load_step_from_a,5.0
load_step_to_a,7.5
p_only_vout_after_vin_step_v,10.995913329895016
pi_vout_after_vin_step_v,11.998736230030946
pi_vout_after_load_step_v,12.000013166190758
pi_input_step_vout_min_v,10.255563714452867
pi_input_step_vout_max_v,12.29301683383756
pi_load_step_vout_min_v,11.24731945382886
pi_load_step_vout_max_v,12.659849100256457
pi_duty_min,0.5041666666666667
pi_duty_max,0.6478564568106379
pi_input_step_settling_ms_1pct,2.410250000000001
pi_load_step_settling_ms_1pct,1.0052500000000018
