metric,value
vref_v,12
fsw_hz,200000
control_period_us,5
kp,0.05
ki,200
duty_feedforward,0.5
initial_integrator_trim,0.0041667
vin_step_from_v,24
vin_step_to_v,20
load_step_from_a,5
load_step_to_a,7.5
p_only_vout_after_vin_step_v,10.99590719
pi_vout_after_vin_step_v,11.9992799223
pi_vout_after_load_step_v,12.0000198454
pi_input_step_vout_min_v,10.2483405401
pi_input_step_vout_max_v,12.2684878197
pi_load_step_vout_min_v,11.263474213
pi_load_step_vout_max_v,12.6416047917
pi_duty_min,0.504166659228
pi_duty_max,0.646353362916
pi_input_step_settling_ms_1pct,2.21575
pi_load_step_settling_ms_1pct,0.908
