metric,value
vref_v,12
fsw_hz,200000
control_period_us,5
kp,0.05
ki,200
duty_min,0.05
duty_max,0.55
duty_feedforward,0.5
initial_integrator_trim,0.00416666666667
vin_nom_v,24
vin_sag_v,20
vin_drop_time_ms,3
vin_return_time_ms,6
required_duty_at_vin_sag,0.605
no_limit_duty_raw_peak,0.621951217617
no_limit_vout_max_after_return_v,13.9855088794
limit_no_aw_vout_min_during_sag_v,9.85098774321
limit_no_aw_vout_max_after_return_v,14.6158498203
limit_no_aw_integrator_peak,0.669766527983
limit_no_aw_duty_raw_peak,1.21811522921
limit_no_aw_saturation_total_ms,5.53
limit_no_aw_saturation_exit_after_return_ms,2.58
limit_aw_vout_min_during_sag_v,9.85098774321
limit_aw_vout_max_after_return_v,13.1258779066
limit_aw_integrator_peak,0.0176382263142
limit_aw_duty_raw_peak,0.614382814413
limit_aw_saturation_total_ms,2.935
limit_aw_saturation_exit_after_return_ms,0.22
anti_windup_overshoot_reduction_v,1.48997191366
anti_windup_integrator_peak_reduction,0.652128301669
