case,metric,value,tolerance,status,note
steady_12v,max_abs_vout_meas_v_error,0.0,1e-06,PASS,C float 与 Python 参考实现的 vout_meas_v 最大绝对误差
steady_12v,max_abs_vref_cmd_v_error,0.0,0.0015,PASS,C float 与 Python 参考实现的 vref_cmd_v 最大绝对误差
steady_12v,max_abs_error_v_error,0.0,0.0015,PASS,C float 与 Python 参考实现的 error_v 最大绝对误差
steady_12v,max_abs_p_term_error,0.0,7.5e-05,PASS,C float 与 Python 参考实现的 p_term 最大绝对误差
steady_12v,max_abs_integrator_error,2.1333334838252727e-10,1e-06,PASS,C float 与 Python 参考实现的 integrator 最大绝对误差
steady_12v,max_abs_duty_raw_error,3.6666666369811196e-09,0.00015,PASS,C float 与 Python 参考实现的 duty_raw 最大绝对误差
steady_12v,max_abs_duty_cmd_error,3.6666666369811196e-09,0.00015,PASS,C float 与 Python 参考实现的 duty_cmd 最大绝对误差
steady_12v,state_mismatch_count,0.0,0.0,PASS,控制状态必须逐周期一致
steady_12v,fault_mismatch_count,0.0,0.0,PASS,active_fault 与 latched_fault 必须逐周期一致
steady_12v,pwm_mismatch_count,0.0,0.0,PASS,PWM 使能必须逐周期一致
steady_12v,logic_flag_mismatch_count,0.0,0.0,PASS,饱和与积分允许标志必须逐周期一致
soft_start_40ms,max_abs_vout_meas_v_error,5.228513053623374e-07,1e-06,PASS,C float 与 Python 参考实现的 vout_meas_v 最大绝对误差
soft_start_40ms,max_abs_vref_cmd_v_error,0.0005586999996030073,0.0015,PASS,C float 与 Python 参考实现的 vref_cmd_v 最大绝对误差
soft_start_40ms,max_abs_error_v_error,0.0005585242798071821,0.0015,PASS,C float 与 Python 参考实现的 error_v 最大绝对误差
soft_start_40ms,max_abs_p_term_error,2.79261689903592e-05,7.5e-05,PASS,C float 与 Python 参考实现的 p_term 最大绝对误差
soft_start_40ms,max_abs_integrator_error,2.954103599413227e-08,1e-06,PASS,C float 与 Python 参考实现的 integrator 最大绝对误差
soft_start_40ms,max_abs_duty_raw_error,5.1213637841773796e-05,0.00015,PASS,C float 与 Python 参考实现的 duty_raw 最大绝对误差
soft_start_40ms,max_abs_duty_cmd_error,5.1213637841773796e-05,0.00015,PASS,C float 与 Python 参考实现的 duty_cmd 最大绝对误差
soft_start_40ms,state_mismatch_count,0.0,0.0,PASS,控制状态必须逐周期一致
soft_start_40ms,fault_mismatch_count,0.0,0.0,PASS,active_fault 与 latched_fault 必须逐周期一致
soft_start_40ms,pwm_mismatch_count,0.0,0.0,PASS,PWM 使能必须逐周期一致
