name,engineering_value,unit,raw_q20,represented_value,quantization_error
vref_final,12.0,V,12582912,12.0,0.0
soft_start_step,0.0015,V/cycle,1573,0.0015001296997070312,1.2969970703121877e-07
kp,0.05,1,52429,0.05000019073486328,1.9073486327847444e-07
ki_step,0.0004,1/cycle,419,0.00039958953857421875,-4.1046142578126917e-07
duty_feedforward,0.5,1,524288,0.5,0.0
duty_max,0.65,1,681574,0.6499996185302734,-3.8146972658470446e-07
ocp_threshold,6.5,A,6815744,6.5,0.0
ovp_threshold,13.2,V,13841203,13.199999809265137,-1.9073486257070726e-07
uvlo_threshold,18.0,V,18874368,18.0,0.0
otp_threshold,100.0,degC,104857600,100.0,0.0
