batch,iterations,elapsed_ns,ns_per_call,checksum
0,10000,453800,45.38,6558711
1,10000,452900,45.29,8825993
2,10000,489100,48.91,11133803
3,10000,448600,44.86,13482134
4,10000,449400,44.94,15870993
5,10000,448300,44.83,18300372
6,10000,449800,44.98,20770279
7,10000,449700,44.97,23280706
8,10000,447400,44.74,25831662
9,10000,449600,44.96,28423138
10,10000,447100,44.71,31055142
11,10000,450600,45.06,33727666
12,10000,448400,44.84,36440718
13,10000,453300,45.33,39192099
14,10000,491100,49.11,41952099
15,10000,449000,44.9,44712099
16,10000,451000,45.1,47472099
17,10000,446000,44.6,50232099
18,10000,461200,46.12,52992099
19,10000,460500,46.05,55752099
20,10000,462900,46.29,58512099
21,10000,598000,59.8,61272099
22,10000,448000,44.8,64032099
23,10000,467400,46.74,66792099
24,10000,478300,47.83,69552099
25,10000,456800,45.68,72312099
26,10000,449300,44.93,75072099
27,10000,462100,46.21,77832099
28,10000,446900,44.69,80592099
29,10000,461100,46.11,83352099
30,10000,451200,45.12,86112099
31,10000,496500,49.65,88872099
32,10000,513400,51.34,91632099
33,10000,459000,45.9,94392099
34,10000,454000,45.4,97152099
35,10000,454900,45.49,99912099
36,10000,593600,59.36,102672099
37,10000,450400,45.04,105432099
38,10000,449400,44.94,108192099
39,10000,461700,46.17,110952099
40,10000,449200,44.92,113712099
41,10000,450400,45.04,116472099
42,10000,448300,44.83,119232099
43,10000,447100,44.71,121992099
44,10000,465900,46.59,124752099
45,10000,455400,45.54,127512099
46,10000,464200,46.42,130272099
47,10000,448300,44.83,133032099
48,10000,457900,45.79,135792099
49,10000,500200,50.02,138552099
50,10000,452000,45.2,141312099
51,10000,461100,46.11,144072099
52,10000,452500,45.25,146832099
53,10000,465700,46.57,149592099
54,10000,456900,45.69,152352099
55,10000,458300,45.83,155112099
56,10000,459700,45.97,157872099
57,10000,449700,44.97,160632099
58,10000,469100,46.91,163392099
59,10000,451800,45.18,166152099
60,10000,452600,45.26,168912099
61,10000,449100,44.91,171672099
62,10000,447800,44.78,174432099
63,10000,457800,45.78,177192099
64,10000,448400,44.84,179952099
65,10000,451900,45.19,182712099
66,10000,567600,56.76,185472099
67,10000,491400,49.14,188232099
68,10000,455900,45.59,190992099
69,10000,457800,45.78,193752099
70,10000,451000,45.1,196512099
71,10000,454500,45.45,199272099
72,10000,466900,46.69,202032099
73,10000,461300,46.13,204792099
74,10000,452800,45.28,207552099
75,10000,461900,46.19,210312099
76,10000,456300,45.63,213072099
77,10000,455400,45.54,215832099
78,10000,459000,45.9,218592099
79,10000,446700,44.67,221352099
80,10000,450800,45.08,224112099
81,10000,448100,44.81,226872099
82,10000,456200,45.62,229632099
83,10000,467400,46.74,232392099
84,10000,454600,45.46,235152099
85,10000,454000,45.4,237912099
86,10000,469600,46.96,240672099
87,10000,457400,45.74,243432099
88,10000,451900,45.19,246192099
89,10000,463800,46.38,248952099
90,10000,451000,45.1,251712099
91,10000,466300,46.63,254472099
92,10000,451800,45.18,257232099
93,10000,605700,60.57,259992099
94,10000,453500,45.35,262752099
95,10000,444900,44.49,265512099
96,10000,451300,45.13,268272099
97,10000,460400,46.04,271032099
98,10000,442100,44.21,273792099
99,10000,459000,45.9,276552099
100,10000,456400,45.64,279312099
101,10000,459000,45.9,282072099
102,10000,451900,45.19,284832099
103,10000,492100,49.21,287592099
104,10000,452600,45.26,290352099
105,10000,454400,45.44,293112099
106,10000,458600,45.86,295872099
107,10000,458500,45.85,298632099
108,10000,459700,45.97,301392099
109,10000,448400,44.84,304152099
110,10000,451600,45.16,306912099
111,10000,467400,46.74,309672099
112,10000,449100,44.91,312432099
113,10000,443000,44.3,315192099
114,10000,450700,45.07,317952099
115,10000,451300,45.13,320712099
116,10000,452200,45.22,323472099
117,10000,450600,45.06,326232099
118,10000,446400,44.64,328992099
119,10000,449800,44.98,331752099
120,10000,450100,45.01,334512099
121,10000,470300,47.03,337272099
122,10000,447400,44.74,340032099
123,10000,449200,44.92,342792099
124,10000,510400,51.04,345552099
125,10000,551300,55.13,348312099
126,10000,452600,45.26,351072099
127,10000,450000,45,353832099
128,10000,449200,44.92,356592099
129,10000,449500,44.95,359352099
130,10000,448500,44.85,362112099
131,10000,459400,45.94,364872099
132,10000,457600,45.76,367632099
133,10000,450400,45.04,370392099
134,10000,449600,44.96,373152099
135,10000,448500,44.85,375912099
136,10000,451400,45.14,378672099
137,10000,454900,45.49,381432099
138,10000,442700,44.27,384192099
139,10000,507700,50.77,386952099
140,10000,451700,45.17,389712099
141,10000,455100,45.51,392472099
142,10000,450300,45.03,395232099
143,10000,455200,45.52,397992099
144,10000,452500,45.25,400752099
145,10000,452200,45.22,403512099
146,10000,454900,45.49,406272099
147,10000,452200,45.22,409032099
148,10000,462900,46.29,411792099
149,10000,452800,45.28,414552099
150,10000,453600,45.36,417312099
151,10000,451600,45.16,420072099
152,10000,467300,46.73,422832099
153,10000,456000,45.6,425592099
154,10000,463600,46.36,428352099
155,10000,460000,46,431112099
156,10000,454200,45.42,433872099
157,10000,458700,45.87,436632099
158,10000,450100,45.01,439392099
159,10000,453900,45.39,442152099
160,10000,459400,45.94,444912099
161,10000,453900,45.39,447672099
