phase,event_order,event
command_enable,0,critical_enter
command_enable,1,critical_exit
startup_isr,0,pwm_update
startup_isr,1,adc_read
startup_isr,2,pwm_write
apply_isr,0,pwm_update
apply_isr,1,adc_read
apply_isr,2,pwm_write
background,0,communication
background,1,storage
telemetry_read,0,critical_enter
telemetry_read,1,critical_exit
command_disable,0,critical_enter
command_disable,1,critical_exit
disable_isr,0,pwm_update
disable_isr,1,adc_read
disable_isr,2,pwm_disable
disable_isr,3,pwm_write
command_restart,0,critical_enter
command_restart,1,critical_exit
restart_queue_isr,0,pwm_update
restart_queue_isr,1,adc_read
restart_queue_isr,2,pwm_write
restart_apply_isr,0,pwm_update
restart_apply_isr,1,adc_read
restart_apply_isr,2,pwm_write
ocp_isr,0,pwm_update
ocp_isr,1,adc_read
ocp_isr,2,pwm_disable
ocp_isr,3,pwm_write
adc_failure_isr,0,pwm_update
adc_failure_isr,1,adc_read
adc_failure_isr,2,pwm_disable
adc_failure_isr,3,pwm_write
