symbol,address,size_bytes,type,binding,section_index
digital_power_adc_map.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x08000044,0,STT_NOTYPE,STB_LOCAL,2
$t,0x080000A4,0,STT_NOTYPE,STB_LOCAL,2
dp_adc_sensor_to_fixed,0x08000269,150,STT_FUNC,STB_LOCAL,2
$t,0x08000268,0,STT_NOTYPE,STB_LOCAL,2
digital_power_control_fixed.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x080002FE,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000346,0,STT_NOTYPE,STB_LOCAL,2
$t,0x0800035C,0,STT_NOTYPE,STB_LOCAL,2
digital_power_pwm_map.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x08000C38,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000C6E,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000C7A,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000D14,0,STT_NOTYPE,STB_LOCAL,2
digital_power_control_isr.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x08000D2A,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000D46,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000D5E,0,STT_NOTYPE,STB_LOCAL,2
digital_power_firmware.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x08000E2C,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000E54,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000E80,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000F64,0,STT_NOTYPE,STB_LOCAL,2
startup_cortex_m4f.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x08000F84,0,STT_NOTYPE,STB_LOCAL,2
$t,0x08000FE0,0,STT_NOTYPE,STB_LOCAL,2
firmware_entry.c,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
$t,0x08000FE2,0,STT_NOTYPE,STB_LOCAL,2
g_firmware,0x20000024,112,STT_OBJECT,STB_LOCAL,5
g_config,0x20000094,132,STT_OBJECT,STB_LOCAL,5
TARGET_HAL,0x080012DC,8,STT_OBJECT,STB_LOCAL,2
$t,0x08001000,0,STT_NOTYPE,STB_LOCAL,2
target_pwm_update_event,0x08001047,10,STT_FUNC,STB_LOCAL,2
$t,0x08001046,0,STT_NOTYPE,STB_LOCAL,2
target_read_adc_sample,0x08001051,20,STT_FUNC,STB_LOCAL,2
$t,0x08001050,0,STT_NOTYPE,STB_LOCAL,2
target_write_pwm_preload,0x08001065,6,STT_FUNC,STB_LOCAL,2
$t,0x08001064,0,STT_NOTYPE,STB_LOCAL,2
target_disable_pwm_immediate,0x0800106B,6,STT_FUNC,STB_LOCAL,2
$t,0x0800106A,0,STT_NOTYPE,STB_LOCAL,2
target_enter_critical,0x08001071,8,STT_FUNC,STB_LOCAL,2
$t,0x08001070,0,STT_NOTYPE,STB_LOCAL,2
target_exit_critical,0x08001079,10,STT_FUNC,STB_LOCAL,2
$t,0x08001078,0,STT_NOTYPE,STB_LOCAL,2
target_service_communication,0x08001083,8,STT_FUNC,STB_LOCAL,2
$t,0x08001082,0,STT_NOTYPE,STB_LOCAL,2
target_service_storage,0x0800108B,8,STT_FUNC,STB_LOCAL,2
$t,0x0800108A,0,STT_NOTYPE,STB_LOCAL,2
TARGET_OPS,0x080012E4,32,STT_OBJECT,STB_LOCAL,2
g_registers,0x20000000,36,STT_OBJECT,STB_LOCAL,4
compiler_rt,0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS
